,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,diff,isFire,fire_cat,geometry,index_right,poly_IncidentName,poly_GISAcres,attr_FireCause,attr_POOState,attr_FireOutDateTime,attr_POOCounty,attr_FireDiscoveryDateTime,attr_ICS209RptForTimePeriodFrom,attr_ContainmentDateTime,in_named_fire,endFire
4768,4768,4768,4768,4768,4768,4768,4768,4768,34.0798,-118.52734,367.0,0.41,0.37,2025-01-08,949,N20,VIIRS,h,2,319.39,19.69,N,0,47.610000000000014,1,1,POINT (-118.52734 34.0798),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4769,4769,4769,4769,4769,4769,4769,4769,4769,34.08361,-118.54923,316.1,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,283.63,21.02,N,0,32.47000000000003,1,1,POINT (-118.54923 34.08361),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4770,4770,4770,4770,4770,4770,4770,4770,4770,34.07901,-118.52278,301.16,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,285.45,19.69,N,0,15.710000000000036,1,1,POINT (-118.52278 34.07901),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4771,4771,4771,4771,4771,4771,4771,4771,4771,34.07824,-118.51836,299.19,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,285.2,4.07,N,0,13.990000000000009,1,0,POINT (-118.51836 34.07824),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4772,4772,4772,4772,4772,4772,4772,4772,4772,34.07747,-118.51398,300.76,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,285.15,4.07,N,0,15.610000000000014,1,0,POINT (-118.51398 34.07747),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4774,4774,4774,4774,4774,4774,4774,4774,4774,34.08099,-118.55424,330.9,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,289.33,21.02,N,0,41.56999999999999,1,1,POINT (-118.55424 34.08099),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4775,4775,4775,4775,4775,4775,4775,4775,4775,34.08025,-118.55,342.26,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,315.48,21.02,N,0,26.779999999999973,1,1,POINT (-118.55 34.08025),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4776,4776,4776,4776,4776,4776,4776,4776,4776,34.07951,-118.54573,355.23,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,300.86,64.61,N,0,54.370000000000005,1,2,POINT (-118.54573 34.07951),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4777,4777,4777,4777,4777,4777,4777,4777,4777,34.07875,-118.54136,336.85,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,310.58,64.61,N,0,26.27000000000004,1,2,POINT (-118.54136 34.07875),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4778,4778,4778,4778,4778,4778,4778,4778,4778,34.07798,-118.53696,331.8,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,291.19,91.59,N,0,40.610000000000014,1,2,POINT (-118.53696 34.07798),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4779,4779,4779,4779,4779,4779,4779,4779,4779,34.07722,-118.53262,340.71,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,336.3,91.59,N,0,4.409999999999968,0,2,POINT (-118.53262 34.07722),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4780,4780,4780,4780,4780,4780,4780,4780,4780,34.07645,-118.52819,346.2,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,309.49,19.69,N,0,36.70999999999998,1,1,POINT (-118.52819 34.07645),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4781,4781,4781,4781,4781,4781,4781,4781,4781,34.07567,-118.52371,348.28,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,293.0,19.69,N,0,55.27999999999997,1,1,POINT (-118.52371 34.07567),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4782,4782,4782,4782,4782,4782,4782,4782,4782,34.07489,-118.51922,349.39,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,293.52,4.07,N,0,55.870000000000005,1,0,POINT (-118.51922 34.07489),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4783,4783,4783,4783,4783,4783,4783,4783,4783,34.07412,-118.51481,330.29,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,286.76,4.07,N,0,43.53000000000003,1,0,POINT (-118.51481 34.07412),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4784,4784,4784,4784,4784,4784,4784,4784,4784,34.07335,-118.51042,347.34,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,290.15,2.51,N,0,57.19,1,0,POINT (-118.51042 34.07335),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4786,4786,4786,4786,4786,4786,4786,4786,4786,34.07688,-118.55074,354.56,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,298.12,23.03,N,0,56.44,1,1,POINT (-118.55074 34.07688),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4787,4787,4787,4787,4787,4787,4787,4787,4787,34.07615,-118.5465,323.88,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,303.19,12.77,N,0,20.689999999999998,1,1,POINT (-118.5465 34.07615),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4788,4788,4788,4788,4788,4788,4788,4788,4788,34.07538,-118.54213,323.33,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,288.84,12.77,N,0,34.49000000000001,1,1,POINT (-118.54213 34.07538),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4789,4789,4789,4789,4789,4789,4789,4789,4789,34.07154,-118.5201,344.27,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,310.79,59.01,N,0,33.47999999999996,1,2,POINT (-118.5201 34.07154),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4790,4790,4790,4790,4790,4790,4790,4790,4790,34.07076,-118.51564,367.0,0.41,0.37,2025-01-08,949,N20,VIIRS,h,2,339.31,59.01,N,0,27.689999999999998,1,2,POINT (-118.51564 34.07076),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
